,Announcement_Date,PURPOSE,REMARKS
323,20-08-2015,Others,Infosys  Ltd  has  informed BSE that a live  webcast  from  Infosys  Glo...
324,19-08-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release dated  August  ...
325,18-08-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release dated  August  ...
326,14-08-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release dated  August  ...
327,07-08-2015,Others,"SAP Implementation Services Worldwide, 2015Infosys  Ltd  has informed BS..."
328,21-07-2015,Others,"Infosys Ltd has informed BSE regarding Fact Sheet, IFRS  INR Press  Rele..."
329,09-07-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated July 09,  2..."
330,08-07-2015,Others,Services Blueprint Report 2015Infosys Ltd has informed BSE regarding a P...
331,03-07-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated July 03,  2..."
332,29-06-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated June 29,  2..."
333,25-06-2015,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
334,23-06-2015,Others,Infosys  Ltd  has  informed BSE that based on  the  recommendation  of  ...
335,22-06-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated June 21,  2..."
336,19-06-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated June 19,  2..."
337,18-06-2015,Others,Infosys  Ltd  has  informed  BSE  that  the  Board  of  Directors  allot...
338,12-06-2015,Others,The  Exchange  has sought clarification from Infosys Ltd  with  respect ...
339,05-06-2015,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
340,04-06-2015,Others,Infosys  Ltd  has informed BSE regarding the details of Voting  results ...
341,29-05-2015,Others,Critical Capabilities for International Retail CoreBanking' Report Infos...
342,25-05-2015,Others,Infosys  Ltd has informed BSE that the 34th Annual General  Meeting   (A...
343,21-05-2015,Others,Infosys  Ltd  has  submitted  to BSE a copy of  Form  20F  filed  with  ...
344,18-05-2015,Others,Infosys Ltd has informed BSE that Pursuant to Securities and Exchange Bo...
